Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Mohammed Ali|Albanian soldier in the service of Turkey who was made viceroy of Egypt and took control away from the Ottoman Empire and established Egypt as a modern state (1769-1849)
Mohorovicic|Yugoslav geophysicist for whom the Mohorovicic discontinuity was named (1857-1936)
Moliere|French author of sophisticated comedies (1622-1673)
Molnar|Hungarian playwright (1878-1952)
Molotov|Soviet statesman (1890-1986)
Mommsen|German historian noted for his history of Rome (1817-1903)
Mondrian|Dutch painter whose work (intersecting lines at right angles and planes in primary colors) influenced the development of abstract art (1872-1944)
Monet|French impressionist painter (1840-1926)
Monk|United States jazz pianist who was one of the founders of the bebop style (1917-1982)
Monnet|French economist who advocated a Common Market in Europe (1888-1979)
Monod|French biochemist who (with Francois Jacob) explained how genes are activated and suggested the existence of messenger RNA (1910-1976)
Monroe|5th President of the United States; author of the Monroe Doctrine (1758-1831)
Monroe|United States film actress noted for sex appeal (1926-1962)
Montagu|United States anthropologist (born in England) who popularized anthropology (1905-)
Montaigne|French writer regarded as the originator of the modern essay (1533-1592)
Montespan|French noblewoman who was mistress to Louis XIV until he became attracted to Madame de Maintenon (1641-1707)
Montesquieu|French political philosopher who advocated the separation of executive and legislative and judicial powers (1689-1755)
Montessori|Italian educator who developed a method of teaching mentally handicapped children and advocated a child-centered approach (1870-1952)
Monteverdi|Italian composer (1567-1643)
Montez|Irish dancer (1818-1861)
Montezuma II|the last Aztec emperor in Mexico who was overthrown and killed by Hernando Cortes (1466-1520)
Montfort|an English nobleman who led the baronial rebellion against Henry III (1208-1265)
Montgolfier|French inventor who (with his brother Jacques Etienne Montgolfier) pioneered hot-air ballooning (1740-1810)
Montgolfier|French inventor who (with his brother Josef Michel Montgolfier) pioneered hot-air ballooning (1745-1799)
Montgomery|English general during World War II; won victories over Rommel in North Africa and led British ground forces in the invasion of Normandy (1887-1976)
Montgomery|Canadian novelist (1874-1942)
Moody|United States evangelist (1837-1899)
Moody|United States tennis player who dominated women's tennis in the 1920s and 1930s (1905-1998)
Moon|United States religious leader (born in Korea) who founded the Unification Church in 1954; was found guilty of conspiracy to evade taxes (born in 1920)
Moore|British sculptor whose works are monumental organic forms (1898-1986)
Moore|United States poet noted for irony and wit (1887-1872)
Moore|Irish poet who wrote nostalgic and patriotic verse (1779-1852)
Moore|English philosopher (1873-1958)
Moore|English actor and comedian who appeared on television and in films (born in 1935)
Moore|United States composer of works noted for their use of the American vernacular (1893-1969)
More|English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state
Morgan|United States financier and philanthropist (1837-1913)
Morgan|soldier in the American Revolution who defeated the British in the battle of Cowpens, South Carolina (1736-1802)
Morgan|a Welsh buccaneer who raided Spanish colonies in the West Indies for the English (1635-1688)
Morgan|United States biologist who formulated the chromosome theory of heredity (1866-1945)
Morgan|United States anthropologist who studied the Seneca (1818-1881)
Morley|United States chemist and physicist who collaborated with Michelson in the Michelson-Morley experiment (1838-1923)
Mormon|the ancient prophet whose writings were revealed to Joseph Smith who founded the Church of Jesus Christ of Latter-Day Saints
Morris|United States statesman who led the committee that produced the final draft of the United States Constitution (1752-1816)
Morris|leader of the American Revolution who signed the Declaration of Independence and raised money for the Continental Army (1734-1806)
Morris|English poet and craftsman (1834-1896)
Morris|United States suffragist in Wyoming (1814-1902)
Morrison|United States writer whose novels describe the lives of African-Americans (born in 1931)
Morrison|United States rock singer (1943-1971)
Morse|United States portrait painter who patented the telegraph and developed the Morse code (1791-1872)
Mortimer|English nobleman who deposed Edward II and was executed by Edward III (1287-1330)
Morton|United States jazz musician who moved from ragtime to New Orleans jazz (1885-1941)
Mosander|Swedish chemist who discovered rare earth elements (1797-1858)
Moses|(Old Testament) the Hebrew prophet who led the Israelites from Egypt across the Red sea on a journey known as the Exodus; Moses received the Ten Commandments from God on Mount Sinai
Moses|United States painter of colorful and primitive rural scenes (1860-1961)
Mossbauer|German physicist (born in 1929)
Motherwell|United States abstract expressionist painter (1915-1991)
Mott|United States feminist and suffragist (1793-1880)
Moynihan|United States politician and educator (1927-2003)
Mozart|prolific Austrian composer and child prodigy; master of the classical style in all its forms of his time (1756-1791)
Mubarak|Egyptian statesman who became president in 1981 after Sadat was assassinated (born in 1929)
Muhammad|leader of Black Muslims who campaigned for independence for Black Americans (1897-1975)
Muir|United States naturalist (born in England) who advocated the creation of national parks (1838-1914)
Mullah Omar|reclusive Afghanistani politician and leader of the Taliban who imposed a strict interpretation of shariah law on Afghanistan (born in 1960)
Muller|United States geneticist who studied the effects of X-rays on genes (1890-1967)
Muller|British philologist (born in Germany) who specialized in Sanskrit (1823-1900)
Muller|German mathematician and astronomer (1436-1476)
Muller|German physiologist and anatomist (1801-1858)
Muller|Swiss physicist who studied superconductivity (born in 1927)
Muller|Swiss chemist who synthesized DDT and discovered its use as an insecticide (1899-1965)
Munch|Norwegian painter (1863-1944)
Munchhausen|German raconteur who told preposterous stories about his adventures as a soldier and hunter; his name is now associated with any telling of exaggerated stories or winning lies (1720-1797)
Munro|British writer of short stories (1870-1916)
Murdoch|British writer (born in Ireland) known primarily for her novels (1919-1999)
Murdoch|United States publisher (born in Australia in 1931)
Murray|Scottish philologist and the lexicographer who shaped the Oxford English Dictionary (1837-1915)
Murray|British classical scholar (born in Australia) who advocated the League of Nations and the United Nations (1866-1957)
Murillo|Spanish painter (1617-1682)
Murrow|United States broadcast journalist remembered for his reports from London during World War II (1908-1965)
Musial|United States baseball player (born in 1920)
Musset|French poet and writer (1810-1857)
Mussolini|Italian fascist dictator (1883-1945)
Mussorgsky|Russian composer of operas and orchestral works (1839-1881)
Muybridge|United States motion-picture pioneer remembered for his pictures of running horses taken with a series of still cameras (born in England) (1830-1904)
Myrdal|Swedish economist (1898-1987)
Nabokov|United States writer (born in Russia) (1899-1977)
Nahum|a Hebrew minor prophet of the 7th century BC
Naismith|United States educator (born in Canada) who invented the game of basketball (1861-1939)
Nanak|Indian religious leader who founded Sikhism in dissent from the caste system of Hinduism; he taught that all men had a right to search for knowledge of God and that spiritual liberation could be attained by meditating on the name of God (1469-1538)
Nansen|Norwegian explorer of the Arctic and director of the League of Nations relief program for refugees of World War I (1861-1930)
Naomi|the mother-in-law of Ruth whose story is told in the Book of Ruth in the Old Testament
Napier|Scottish mathematician who invented logarithms; introduced the use of the decimal point in writing numbers (1550-1617)
Napoleon|French general who became emperor of the French (1769-1821)
Napoleon III|nephew of Napoleon I and emperor of the French from 1852 to 1871 (1808-1873)
Nash|United States writer noted for his droll epigrams (1902-1971)
Nasser|Egyptian statesman who nationalized the Suez Canal (1918-1970)
Nast|United States political cartoonist (1840-1902)
Nation|United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911)
Natta|Italian chemist noted for work on polymers (1903-1979)
Sanchez|Venezuelan master terrorist raised by a Marxist-Leninist father; trained and worked with many terrorist groups (born in 1949)
Navratilova|United States tennis player (born in Czechoslovakia) who won nine Wimbledon women's singles championships (born in 1956)
Nazimova|United States actress (born in Russia) (1879-1945)
Nebuchadnezzar|(Old Testament) king of Chaldea who captured and destroyed Jerusalem and exiled the Israelites to Babylonia (630?-562 BC)
Nicholas V|Italian pope from 1447 to 1455 who founded the Vatican library (1397-1455)
Nimrod|(Old Testament) a famous hunter
Neel|French physicist noted for research on magnetism (born in 1904)
Nefertiti|queen of Egypt and wife of Akhenaton (14th century BC)
Nehru|Indian statesman and leader with Gandhi in the struggle for home rule; was the first prime minister of the Republic of India from 1947 to 1964 (1889-1964)
Nelson|English admiral who defeated the French fleets of Napoleon but was mortally wounded at Trafalgar (1758-1805)
Nernst|German physicist and chemist who formulated the third law of thermodynamics (1864-1941)
Nero|Roman Emperor notorious for his monstrous vice and fantastic luxury (was said to have started a fire that destroyed much of Rome in 64) but the Roman Empire remained prosperous during his rule (37-68)
Neruda|Chilean poet (1904-1973)
Nervi|Italian architect who pioneered in the use of reinforced concrete (1891-1979)
Nerva|Emperor of Rome who introduced a degree of freedom after the repressive reign of Domitian; adopted Trajan as his successor (30-98)
Nestor|(Greek mythology) a wise old counselor to the Greeks at Troy
Nestorius|Syrian who was a Christian bishop and Patriarch of Constantinople in the early fifth century; one of the major heresies concerning the doctrine of the hypostasis of Christ was named after him (died in 451)
Nevelson|United States sculptor (born in Russia) known for massive shapes of painted wood (1899-1988)
Newcomb|United States astronomer (1835-1909)
Newman|English prelate and theologian who (with John Keble and Edward Pusey) founded the Oxford movement; Newman later turned to Roman Catholicism and became a cardinal (1801-1890)
Newman|United States film actor (born in 1925)
Newton|English mathematician and physicist; remembered for developing the calculus and for his law of gravitation and his three laws of motion (1642-1727)
Ney|French marshal in the Napoleonic Wars (1769-1815)
Nicholas|a bishop in Asia Minor who is associated with Santa Claus (4th century)
Nicholas I|czar of Russia from 1825 to 1855 who led Russia into the Crimean War (1796-1855)
Nicholas II|the last czar of Russia who was forced to abdicate in 1917 by the Russian Revolution; he and his family were executed by the Bolsheviks (1868-1918)
Nicklaus|United States golfer considered by many to be the greatest golfer of all time (born in 1940)
Nicolson|English diplomat and author (1886-1968)
Niebuhr|German historian noted for his critical approach to sources and for his history of Rome (1776-1831)
Niebuhr|United States Protestant theologian (1892-1971)
Nielsen|Danish composer (1865-1931)
Nietzsche|influential German philosopher remembered for his concept of the superman and for his rejection of Christian values; considered, along with Kierkegaard, to be a founder of existentialism (1844-1900)
Nightingale|English nurse remembered for her work during the Crimean War (1820-1910)
Nijinsky|Russian dancer considered by many to be the greatest dancer of the 20th century (1890-1950)
Nilsson|Swedish operatic soprano who played Wagnerian roles (born in 1918)
Nimitz|United States admiral of the Pacific fleet during World War II who used aircraft carriers to destroy the Japanese navy (1885-1966)
Nixon|vice president under Eisenhower and 37th President of the United States; resigned after the Watergate scandal in 1974 (1913-1994)
Noah|the Hebrew patriarch who saved himself and his family and the animals by building an ark in which they survived 40 days and 40 nights of rain; the story of Noah and the flood is told in the Book of Genesis
Nobel|Swedish chemist remembered for his invention of dynamite and for the bequest that created the Nobel prizes (1833-1896)
Noether|German mathematician (1882-1935)
Noguchi|United States bacteriologist (born in Japan) who discovered the cause of yellow fever and syphilis (1876-1928)
Noguchi|United States sculptor (1904-1988)
Norman|Australian golfer (born in 1955)
Norman|United States operatic soprano (born in 1945)
Norris|United States writer (1870-1902)
Norrish|English chemist (1897-1978)
North|British statesman under George III whose policies led to rebellion in the American colonies (1732-1792)
Northrop|United States biochemist (1891-1987)
Nostradamus|French astrologer who wrote cryptic predictions whose interpretations are still being debated (1503-1566)
Noyes|English poet (1880-1958)
Nuffield|British industrialist who manufactured automobiles and created a philanthropic foundation (1877-1963)
Nureyev|Russian dancer who was often the partner of Dame Margot Fonteyn and who defected to the United States in 1961 (born in 1938)
Oakley|United States sharpshooter who was featured in Buffalo Bill's Wild West Show (1860-1926)
Oates|United States writer (born in 1938)
Oates|English conspirator who claimed that there was a Jesuit plot to assassinate Charles II (1649-1705)
Obadiah|a Hebrew minor prophet
O'Brien|Irish writer (born in 1932)
O'Casey|Irish playwright (1880-1964)
Occam|English scholastic philosopher and assumed author of Occam's Razor (1285-1349)
Ochoa|United States biochemist (born in Spain) who studied the biological synthesis of nucleic acids (1905-1993)
Ochs|United States newspaper publisher (1858-1935)
O'Connor|United States writer (1925-1964)
Odets|United States playwright (1906-1963)
Odoacer|Germanic barbarian leader who ended the Western Roman Empire in 476 and became the first barbarian ruler of Italy (434-493)
Oersted|Danish physicist (1777-1851)
Offenbach|French composer of many operettas and an opera (1819-1880)
O'Flaherty|Irish writer of short stories (1896-1984)
Ogden|English psychologist who collaborated with I. A. Richards in designing Basic English (1889-1957)
O'Hara|United States writer (1905-1970)
Ohm|German physicist who formulated Ohm's law (1787-1854)
O'Keeffe|United States painter (1887-1986)
Oken|German naturalist whose speculations that plants and animals are made up of tiny living `infusoria' led to the cell theory (1779-1851)
Olaf II|King and patron saint of Norway (995-1030)
Oldenburg|United States sculptor (born in Sweden); a leader of the pop art movement who was noted for giant sculptures of common objects (born in 1929)
Oldfield|United States race driver who was the first to drive faster than a mile a minute (1878-1946)
Oliver|United States jazz musician who influenced the style of Louis Armstrong (1885-1938)
Olivier|English actor best know for his Shakespearean roles (1907-1989)
Olmsted|United States landscape architect primarily responsible for the design of Central Park in New York City (1822-1903)
Omar Khayyam|Persian poet and mathematician and astronomer whose poetry was popularized by Edward Fitzgerald's translation (1050-1123)
Ondaatje|Canadian writer (born in Sri Lanka in 1943)
O'Neill|United States playwright (1888-1953)
Ono|United States musician (born in Japan) who married John Lennon and collaborated with him on recordings (born in 1933)
Onsager|United States chemist (born in Norway) noted for his work in thermodynamics (1903-1976)
Oort|Dutch astronomer who proved that the galaxy is rotating and proposed the existence of the Oort cloud (1900-1992)
Opel|German industrialist who was the first in Germany to use an assembly line in manufacturing automobiles (1871-1948)
Oppenheimer|United States physicist who directed the project at Los Alamos that developed the first atomic bomb (1904-1967)
Orbison|United States composer and rockabilly tenor popular in the 1950s (1936-1988)
Orczy|British writer (born in Hungary) (1865-1947)
Orff|German musician who developed a widely used system for teaching music to children (1895-1982)
Origen|Greek philosopher and theologian who reinterpreted Christian doctrine through the philosophy of Neoplatonism; his work was later condemned as unorthodox (185-254)
Ormandy|United States conductor (born in Hungary) (1899-1985)
Orozco|Mexican painter noted for his monumental murals (1883-1949)
Orr|Canadian hockey player (born 1948)
Ortega|Nicaraguan statesman (born in 1945)
Ortega y Gasset|Spanish philosopher who advocated leadership by an intellectual elite (1883-1955)
Orwell|imaginative British writer concerned with social justice (1903-1950)
Osborne|English playwright (1929-1994)
Osman I|the conqueror of Turkey who founded the Ottoman Empire and the Ottoman dynasty that ruled Turkey after the 13th century; conquered most of Asia Minor and assumed the title of emir in 1299 (1259-1326)
Ostwald|German chemist (1853-1932)
Oswald|United States assassin of President John F. Kennedy (1939-1963)
Otis|United States inventor who manufactured the first elevator with a safety device (1811-1861)
O'Toole|British actor (born in Ireland in 1932)
Otto I|King of the Germans and Holy Roman Emperor (912-973)
Ovid|Roman poet remembered for his elegiac verses on love (43 BC - AD 17)
Owen|English comparative anatomist and paleontologist who was an opponent of Darwinism (1804-1892)
Owen|Welsh industrialist and social reformer who founded cooperative communities (1771-1858)
Owens|United States athlete and Black American whose success in the 1936 Olympic Games in Berlin outraged Hitler (1913-1980)
Ozawa|United States conductor (born in Japan in 1935)
Paderewski|Polish pianist who in 1919 served as the first Prime Minister of independent Poland (1860-1941)
Paganini|Italian violinist and composer of music for the violin (1782-1840)
Page|United States diplomat and writer about the Old South (1853-1922)
Page|English industrialist who pioneered in the design and manufacture of aircraft (1885-1962)
Paget|English pathologist who discovered the cause of trichinosis (1814-1899)
Pahlavi|Shah of Iran who was deposed in 1979 by Islamic fundamentalists (1919-1980)
Paige|United States baseball player; a black pitcher noted for his longevity (1906-1982)
Paine|American Revolutionary leader and pamphleteer (born in England) who supported the American colonist's fight for independence and supported the French Revolution (1737-1809)
Paine|American Revolutionary leader and signer of the Declaration of Independence (1731-1814)
Palestrina|Italian composer (1526-1594)
Palgrave|English poet (1824-1897)
Palladio|highly original and much imitated Italian architect (1508-1580)
Palmer|United States golfer (born in 1929)
Panini|Indian grammarian whose grammatical rules for Sanskrit are the first known example of descriptive linguistics (circa 400 BC)
Panofsky|art historian (1892-1968)
Paracelsus|Swiss physician who introduced treatments of particular illnesses based on his observation and experience; he saw illness as having an external cause (rather than an imbalance of humors) and replaced traditional remedies with chemical remedies (1493-1541)
Pareto|Italian sociologist and economist whose theories influenced the development of fascism in Italy (1848-1923)
Park|Scottish explorer in Africa (1771-1806)
Parker|United States writer noted for her sharp wit (1893-1967)
Parker|United States saxophonist and leader of the bop style of jazz (1920-1955)
Parkinson|British historian noted for ridicule of bureaucracies (1909-1993)
Parkinson|English surgeon (1755-1824)
Parks|United States civil rights leader who refused to give up her seat on a bus to a white man in Montgomery (Alabama) and so triggered the national Civil Rights movement (born in 1913)
Parmenides|a presocratic Greek philosopher born in Italy; held the metaphysical view that being is the basic substance and ultimate reality of which all things are composed; said that motion and change are sensory illusions (5th century BC)
Parnell|Irish nationalist leader (1846-1891)
Parr|Queen of England as the 6th wife of Henry VIII (1512-1548)
Parrish|United States painter (1870-1966)
Parsons|United States sociologist (1902-1979)
Pascal|French mathematician and philosopher and Jansenist; invented an adding machine; contributed (with Fermat) to the theory of probability (1623-1662)
Pasternak|Russian writer whose best known novel was banned by Soviet authorities but translated and published abroad (1890-1960)
Pasteur|French chemist and biologist whose discovery that fermentation is caused by microorganisms resulted in the process of pasteurization (1822-1895)
Paterson|American Revolutionary leader (born in Ireland) who was a member of the Constitutional Convention (1745-1806)
Paton|South African writer (1903-1988)
Patrick|Apostle and patron saint of Ireland; an English missionary to Ireland in the 5th century
Paul|(New Testament) a Christian missionary to the Gentiles; author of several Epistles in the New Testament; even though Paul was not present at the Last Supper he is considered an Apostle; "Paul's name was Saul prior to his conversion to Christianity"
Paul III|Italian pope from 1534 to 1549 who excommunicated Henry VIII of England in 1538 and initiated the Council of Trent in 1545; was active in the Counter Reformation and promoted the Society of Jesus for this purpose (1468-1549)
Paul VI|Italian pope from 1963 to 1978 who eased restrictions on fasting and on interfaith marriages (1897-1978)
Paul|United States feminist (1885-1977)
Pauli|United States physicist (born in Austria) who proposed the exclusion principle (thus providing a theoretical basis for the periodic table) (1900-1958)
Pauling|United States chemist who studied the nature of chemical bonding (1901-1994)
Pavarotti|Italian tenor (born in 1935)
Pavlov|Russian physiologist who observed conditioned salivary responses in dogs (1849-1936)
Pavlova|Russian ballerina (1882-1931)
Paxton|English architect (1801-1865)
Peabody|educator who founded the first kindergarten in the United States (1804-1894)
Peary|United States Arctic explorer and United States naval officer who has been regarded as the first man to reach the North Pole (1856-1920)
Peel|British politician (1788-1850)
Pei|United States architect (born in China in 1917)
Peirce|United States philosopher and logician; pioneer of pragmatism (1839-1914)
Peirce|United States mathematician and astronomer remembered for his studies of Uranus and Saturn and Neptune (1809-1880)
Pelagius|a British or Irish monk who denied the doctrines of original sin and predestination and defended human goodness and free will; his views were declared heretical by the Council of Ephesus in 431 (circa 360-418)
Penn|Englishman and Quaker who founded the colony of Pennsylvania (1644-1718)
Pepin|king of the Franks and father of Charlemagne who defended papal interests and founded the Carolingian dynasty in 751 (714-768)
Pepys|English diarist whose diary contained detailed descriptions of 17th century disasters in England (1633-1703)
Percy|English soldier killed in a rebellion against Henry IV (1364-1403)
Percy|United States writer whose novels explored human alienation (1916-1990)
Pericles|Athenian statesman whose leadership contributed to Athens' political and cultural supremacy in Greece; he ordered the construction of the Parthenon (died in 429 BC)
Peron|Argentine soldier who became president of Argentina (1895-1974)
Perry|United States commodore who led the fleet that defeated the British on Lake Erie during the War of 1812; brother of Matthew Calbraith Perry (1785-1819)
Perry|United States admiral who led a naval expedition to Japan and signed a treaty in 1854 opening up trade relations between United States and Japan; brother of Oliver Hazard Perry (1794-1858)
Perry|United States philosopher (1876-1957)
Pershing|United States general who commanded the American forces in Europe during World War I (1860-1948)
Perutz|English biochemist (born in Austria); studied the molecular structure of blood (1914-2002)
Peter|disciple of Jesus and leader of the Apostles; regarded by Catholics as the vicar of Christ on earth and first Pope
Peter I|czar of Russia who introduced ideas from western Europe to reform the government; he extended his territories in the Baltic and founded St. Petersburg (1682-1725)
Petrarch|an Italian poet famous for love lyrics (1304-1374)
Petronius|Roman satirist (died in 66)
Phidias|ancient Greek sculptor (circa 500-432 BC)
Philemon|(New Testament) a Christian (probably living in Colossae) whose slave escaped and went to see Saint Paul
Philemon|(Greek mythology) a simple countryman who offered hospitality to Zeus and Hermes when they came to earth without revealing their identities in order to test people's piety
Philip|Englishman and husband of Elizabeth II (born 1921)
Philip II|king of Spain and Portugal and husband of Mary I; he supported the Counter Reformation and sent the Spanish Armada to invade England (1527-1598)
Philip II|king of ancient Macedonia and father of Alexander the Great (382-336 BC)
Philip II|son of Louis VII whose reign as king of France saw wars with the English that regained control of Normandy and Anjou and most of Poitou (1165-1223)
Philip V|king of ancient Macedonia whose confrontations with the Romans led to his defeat and his loss of control over Greece
Philip VI|king of France who founded the Valois dynasty; his dispute with Edward III over his succession led to the Hundred Years' War (1293-1350)
Phintias|friend of Damon; Phintias (according to legend) was condemned to death by Dionysius the Elder and asked a respite to put his affairs in order; Damon pledged his life for the return of his friend; when Phintias returned in time the tyrant released them both (4th century BC)
Photius|Patriarch of Constantinople and saint of the Greek Orthodox Church; was condemned by the Fourth Council of Constantinople in 869 but was reinstated by a later pope
Piaf|French cabaret singer (1915-1963)
Piaget|Swiss psychologist remembered for his studies of cognitive development in children (1896-1980)
Pickett|American Confederate general known for leading a disastrous charge at Gettysburg (1825-1875)
Pickford|United States film actress (born in Canada) who starred in silent films (1893-1979)
Pierce|14th President of the United States (1804-1869)
Picasso|prolific and influential Spanish artist who lived in France (1881-1973)
Pilate|the Roman procurator of Judea who ordered that Jesus be crucified (died in AD 36)
Pincus|United States sexual physiologist whose hunch that progesterone could block ovulation led to the development of the oral contraceptive pill (1903-1967)
Pindar|Greek lyric poet remembered for his odes (518?-438? BC)
Pinter|English dramatist whose plays are characterized by silences and the use of inaction (born in 1930)
Pirandello|Italian novelist and playwright (1867-1936)
Piston|United States neoclassical composer (1894-1976)
Pitman|English educator who invented a system of phonetic shorthand (1813-1897)
Pitot|French physicist for whom the Pitot tube was named (1695-1771)
Pitt|English statesman who brought the Seven Years' War to an end (1708-1778)
Pitt|English statesman and son of Pitt the Elder (1759-1806)
Pitt|a British playwright who created the fictional character Sweeney Todd (1799-1855)
Pius II|Italian pope from 1458 to 1464 who is remembered for his unsuccessful attempt to lead a crusade against the Turks (1405-1464)
Pius V|Italian pope from 1566 to 1572 who led the reformation of the Roman Catholic Church; he excommunicated Elizabeth I (1504-1572)
Pius VI|Italian pope from 1775 to 1799 who served during the French Revolution; Napoleon attacked the Papal States and in 1797 Pius VI was taken to France where he died (1717-1799)
Pius VII|Italian pope from 1800 to 1823 who was humiliated by Napoleon and taken prisoner in 1809; he concluded a concordat with Napoleon and crowned him emperor of France; he returned to Rome in 1814 (1740-1823)
Pius IX|Italian pope from 1846 to 1878 who in 1854 declared the dogma of the Immaculate Conception of the Virgin Mary
Pius X|pope who condemned religious modernism; he was canonized in 1954 because of his interest in the poor (1835-1914)
Pius XI|pope who signed a treaty with Mussolini recognizing the Vatican City as an independent state (1857-1939)
Pius XII|pope who maintained neutrality during World War II and was later criticized for not aiding the Jews who were persecuted by Hitler (1876-1958)
Pizarro|Spanish conquistador who conquered the Incas in what is now Peru and founded the city of Lima (1475-1541)
Planck|German physicist whose explanation of blackbody radiation in the context of quantized energy emissions initiated quantum theory (1858-1947)
Plath|United States writer and poet (1932-1963)
Plato|ancient Athenian philosopher; pupil of Socrates; teacher of Aristotle (428-347 BC)
Plautus|comic dramatist of ancient Rome (253?-184 BC)
Pliny|Roman author of an encyclopedic natural history; died while observing the eruption of Vesuvius (23-79)
Pliny|Roman writer and nephew of Pliny the Elder; author of books of letters that commented on affairs of the day (62-113)
Plotinus|Roman philosopher (born in Egypt) who was the leading representative of Neoplatonism (205-270)
Plutarch|Greek biographer who wrote Parallel Lives (46?-120 AD)
Pocahontas|a Powhatan woman (the daughter of Powhatan) who befriended the English at Jamestown and is said to have saved Captain John Smith's life (1595-1617)
Poe|United States writer and poet (1809-1849)
Poitier|United States film actor and director (born in 1927)
Polk|11th President of the United States; his expansionism led to the Mexican War and the annexation of California and much of the southwest (1795-1849)
Pollack|United States filmmaker (born in 1934)
Pollock|United States artist famous for painting with a drip technique; a leader of abstract expressionism in America (1912-1956)
Polo|Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
Polycarp|Greek bishop of Smyrna who refused to recant his Christian faith and was burned to death by pagans (circa 69-155)
Pompadour|French noblewoman who was the lover of Louis XV, whose policies she influenced (1721-1764)
Pompey|Roman general and statesman who quarrelled with Caesar and fled to Egypt where he was murdered (106-48 BC)
Ponce de Leon|Spanish explorer who accompanied Columbus on his second trip in 1493; in 1513 he discovered Florida while searching for the legendary Fountain of Youth (1460-1521)
Pons|United States coloratura soprano (born in France) (1904-1976)
Ponselle|United States soprano (1897-1981)
Pontiac|famous chief of the Ottawa who led an unsuccessful rebellion against the British (1715-1769)
Pope|English poet and satirist (1688-1744)
Popper|British philosopher (born in Austria) who argued that scientific theories can never be proved to be true, but are tested by attempts to falsify them (1902-1994)
Porter|United States writer of short stories whose pen name was O. Henry (1862-1910)
Porter|United States composer and lyricist of musical comedies (1891-1946)
Porter|United States writer of novels and short stories (1890-1980)
Post|United States manufacturer of breakfast cereals and Postum (1854-1914)
Post|United States female author who wrote a book and a syndicated newspaper column on etiquette (1872-1960)
Post|United States aviator who in 1933 made the first solo flight around the world (1899-1935)
Potemkin|a Russian officer and politician who was a favorite of Catherine II and in 1762 helped her to seize power; when she visited the Crimea in 1787 he gave the order for sham villages to be built (1739-1791)
Poulenc|French pianist and composer (1899-1963)
Pound|United States writer who lived in Europe; strongly influenced the development of modern literature (1885-1972)
Poussin|French painter in the classical style (1594-1665)
Powell|English physicist who discovered the pion (the first known meson) which is a subatomic particle involved in holding the nucleus together (1903-1969)
Powell|United States general who was the first African American to serve as chief of staff; later served as Secretary of State under President George W. Bush (born 1937)
Powhatan|Indian chief and founder of the Powhatan confederacy of tribes in eastern Virginia; father of Pocahontas (1550?-1618)
Powys|British writer of novels about nature; one of three literary brothers (1872-1963)
Powys|British writer of allegorical novels; one of three literary brothers (1875-1953)
Powys|British writer of essays; one of three literary brothers (1884-1939)
Presley|United States rock singer whose many hit records and flamboyant style greatly influenced American popular music (1935-1977)
Priam|(Greek mythology) the last king of Troy; father of Hector and Paris and Cassandra
Price|United States operatic soprano (born 1927)
Priestley|English chemist who isolated many gases and discovered oxygen (independently of Scheele) (1733-1804)
Prokhorov|Russian physicist whose research into ways of moving electrons around atoms led to the development of masers and lasers for producing high-intensity radiation (1916-2002)
Prokofiev|Russian composer of ballets and symphonies and operas (1891-1953)
Proudhon|French socialist who argued that property is theft (1809-1865)
Proust|French novelist (1871-1922)
Ptolemy|Alexandrian astronomer (of the 2nd century) who proposed a geocentric system of astronomy that was undisputed until the late Renaissance
Ptolemy I|the king of Egypt who founded the Macedonian dynasty in Egypt; a close friend and general of Alexander the Great who took charge of Egypt after Alexander died (circa 367-285 BC)
Ptolemy II|son of Ptolemy I and king of Egypt who was said to be responsible for the Septuagint (circa 309-247 BC)
Puccini|Italian operatic composer noted for the dramatic realism of his operas (1858-1924)
Pugin|English architect who played a prominent role in the 19th century revival of Gothic architecture (1812-1852)
Pulitzer|United States newspaper publisher (born in Hungary) who established the Pulitzer prizes (1847-1911)
Purcell|English organist at Westminster Abbey and composer of many theatrical pieces (1659-1695)
Purkinje|Bohemian physiologist remembered for his discovery of Purkinje cells and the Purkinje network (1787-1869)
Pusey|English theologian who (with John Henry Newman and John Keble) founded the Oxford movement (1800-1882)
Pushkin|Russian poet (1799-1837)
Putin|Russian statesman chosen as president of the Russian Federation in 2000; formerly director of the Federal Security Bureau (born in 1952)
Pyle|United States writer and illustrator of children's books (1853-1911)
Pynchon|United States writer of pessimistic novels about life in a technologically advanced society (born in 1937)
Pyrrhus|king of Epirus; defeated the Romans in two battles in spite of staggering losses (319-272 BC)
Pythagoras|Greek philosopher and mathematician who proved the Pythagorean theorem; considered to be the first true mathematician (circa 580-500 BC)
Qaddafi|Libyan leader who seized power in a military coup d'etat in 1969; deposed the Libyan monarchy and imposed socialism and Islamic orthodoxy on the country (born in 1942)
Qin Shi Huang Ti|the first Qin emperor who unified China, built much of the Great Wall, standardized weights and measures, and created a common currency and legal system (died 210 BC)
Quincy|American patriot who presented the colonists' grievances to the English king (1744-1775)
